SupplierID,PartID,PartDescription,OrderDate,EstimatedDeliveryDate,ActualDeliveryDate,Quantity,UnitCost,TransportMode,TransportCost,WarehouseID,WarehouseLocation,WarehouseCapacity,CurrentInventory,SupplierName,SupplierLocation,TotalCost,LeadTimeDays
47,199,Engine,2023-04-27 08:00:00,2023-05-09 08:00:00,2023-05-18 08:00:00,11,748.02,Air,1484.91,19,Manchester,4073,2544,Supplier_47,Liverpool,8228.22,21
47,165,Door,2023-04-30 17:00:00,2023-05-18 17:00:00,2023-05-23 17:00:00,694,74.99,Air,368.46,10,Birmingham,2953,1433,Supplier_47,Liverpool,52043.06,23
318,102,Door,2023-01-01 02:00:00,2023-01-14 02:00:00,2023-01-11 02:00:00,261,347.14,Rail,1170.3,16,Edinburgh,3403,2975,Supplier_318,Rome,90603.54,10
318,124,Steering,2023-01-06 13:00:00,2023-01-22 13:00:00,2023-01-29 13:00:00,829,738.75,Rail,1659.7,17,Birmingham,3682,1389,Supplier_318,Rome,612423.75,23
318,30,Transmission,2023-02-04 06:00:00,2023-02-10 06:00:00,2023-02-23 06:00:00,174,259.8,Air,294.94,14,London,4000,3304,Supplier_318,Rome,45205.2,19
318,189,Door,2023-02-28 00:00:00,2023-03-19 00:00:00,2023-03-24 00:00:00,921,439.88,Air,1312.21,12,Sheffield,2580,2847,Supplier_318,Rome,405129.48,24
318,147,Battery,2023-03-23 18:00:00,2023-04-07 18:00:00,2023-04-08 18:00:00,672,620.53,Road,899.44,13,Sheffield,1044,2077,Supplier_318,Rome,416996.16,16
318,11,Windshield,2023-04-10 01:00:00,2023-04-26 01:00:00,2023-04-25 01:00:00,105,677.84,Air,1750.7,4,London,4807,930,Supplier_318,Rome,71173.2,15
318,199,Engine,2023-04-14 07:00:00,2023-05-03 07:00:00,2023-04-26 07:00:00,955,914.02,Road,1478.22,10,Sheffield,1212,2621,Supplier_318,Rome,872889.1,12
344,148,Steering,2023-01-01 03:00:00,2023-01-17 03:00:00,2023-01-22 03:00:00,605,656.67,Air,1292.61,13,Edinburgh,1643,3930,Supplier_344,Helsinki,397285.35,21
344,62,Windshield,2023-01-29 17:00:00,2023-02-18 17:00:00,2023-01-31 17:00:00,222,243.17,Sea,1742.46,14,Sheffield,1744,3805,Supplier_344,Helsinki,53983.74,2
344,196,Engine,2023-02-12 12:00:00,2023-03-04 12:00:00,2023-03-04 12:00:00,179,746.75,Sea,1925.43,11,Leeds,2908,835,Supplier_344,Helsinki,133668.25,20
344,29,Transmission,2023-03-27 12:00:00,2023-03-29 12:00:00,2023-04-03 12:00:00,863,599.37,Sea,881.8,19,Birmingham,3826,3046,Supplier_344,Helsinki,517256.31,7
344,56,Door,2023-04-30 06:00:00,2023-05-03 06:00:00,2023-05-17 06:00:00,813,907.62,Sea,260.05,19,Manchester,1540,1787,Supplier_344,Helsinki,737895.06,17
344,45,Seat,2023-04-30 23:00:00,2023-05-15 23:00:00,2023-05-07 23:00:00,143,610.4,Sea,1972.04,15,Sheffield,1473,2794,Supplier_344,Helsinki,87287.2,7
39,121,Door,2023-01-01 04:00:00,2023-01-20 04:00:00,2023-01-17 04:00:00,45,275.24,Sea,1130.75,4,Manchester,4582,3114,Supplier_39,Brussels,12385.8,16
39,175,Transmission,2023-01-25 07:00:00,2023-01-29 07:00:00,2023-02-12 07:00:00,101,861.43,Rail,1897.63,4,Manchester,3392,2173,Supplier_39,Brussels,87004.43,18
39,99,Seat,2023-02-22 02:00:00,2023-03-04 02:00:00,2023-03-02 02:00:00,100,891.25,Sea,1875.52,6,Liverpool,1346,3436,Supplier_39,Brussels,89125,8
39,180,Transmission,2023-03-12 06:00:00,2023-03-27 06:00:00,2023-03-15 06:00:00,306,836.09,Air,232.29,8,Liverpool,3790,3376,Supplier_39,Brussels,255843.54,3
39,48,Door,2023-03-19 18:00:00,2023-04-03 18:00:00,2023-04-13 18:00:00,407,501.14,Road,575.1,13,Leeds,1034,1295,Supplier_39,Brussels,203963.98,25
481,102,Engine,2023-01-01 05:00:00,2023-01-06 05:00:00,2023-01-16 05:00:00,479,911.59,Air,1195.36,14,Glasgow,3201,3620,Supplier_481,Edinburgh,436651.61,15
481,6,Steering,2023-01-19 22:00:00,2023-02-02 22:00:00,2023-02-07 22:00:00,469,709.42,Air,226.03,5,Cardiff,2548,150,Supplier_481,Edinburgh,332717.98,19
481,33,Suspension,2023-02-02 17:00:00,2023-02-11 17:00:00,2023-02-17 17:00:00,50,674.55,Sea,1089.67,19,Leeds,3098,654,Supplier_481,Edinburgh,33727.5,15
481,195,Windshield,2023-02-05 10:00:00,2023-02-10 10:00:00,2023-02-21 10:00:00,776,279.45,Sea,1297.89,16,Glasgow,1384,287,Supplier_481,Edinburgh,216853.2,16
481,45,Transmission,2023-02-14 00:00:00,2023-02-27 00:00:00,2023-02-22 00:00:00,868,733.55,Sea,1265.86,13,Liverpool,2821,137,Supplier_481,Edinburgh,636721.4,8
481,28,Engine,2023-02-18 08:00:00,2023-02-23 08:00:00,2023-03-13 08:00:00,35,710.3,Road,1889.25,7,Manchester,4398,1723,Supplier_481,Edinburgh,24860.5,23
481,13,Suspension,2023-02-22 10:00:00,2023-02-24 10:00:00,2023-03-17 10:00:00,42,542.17,Air,631.44,14,Sheffield,2164,1810,Supplier_481,Edinburgh,22771.14,23
481,114,Battery,2023-04-14 11:00:00,2023-04-18 11:00:00,2023-04-16 11:00:00,527,687.53,Sea,1829.98,9,Cardiff,2871,1673,Supplier_481,Edinburgh,362328.31,2
481,23,Windshield,2023-04-18 21:00:00,2023-04-27 21:00:00,2023-04-30 21:00:00,578,490.64,Rail,608.07,4,Bristol,2100,2013,Supplier_481,Edinburgh,283589.92,12
481,38,Battery,2023-04-21 15:00:00,2023-04-24 15:00:00,2023-04-27 15:00:00,379,765.5,Road,936.22,2,Edinburgh,1108,1216,Supplier_481,Edinburgh,290124.5,6
481,199,Steering,2023-04-27 20:00:00,2023-05-17 20:00:00,2023-05-11 20:00:00,52,702.76,Air,1365.23,5,Leeds,1014,2364,Supplier_481,Edinburgh,36543.52,14
126,154,Windshield,2023-01-01 06:00:00,2023-01-18 06:00:00,2023-01-08 06:00:00,617,127.81,Sea,1676.66,19,London,2079,2493,Supplier_126,Birmingham,78858.77,7
126,79,Tire,2023-01-18 17:00:00,2023-01-29 17:00:00,2023-02-01 17:00:00,837,511.99,Air,1577.28,19,Liverpool,2104,385,Supplier_126,Birmingham,428535.63,14
126,199,Door,2023-01-21 17:00:00,2023-02-09 17:00:00,2023-01-29 17:00:00,940,342.54,Rail,1506.13,13,Manchester,3704,3577,Supplier_126,Birmingham,321987.6,8
126,94,Steering,2023-01-30 21:00:00,2023-02-02 21:00:00,2023-02-08 21:00:00,795,534.32,Sea,275.17,4,Liverpool,4335,1568,Supplier_126,Birmingham,424784.4,9
126,1,Tire,2023-02-16 21:00:00,2023-03-06 21:00:00,2023-03-04 21:00:00,415,683.42,Rail,688.01,20,Cardiff,1291,1923,Supplier_126,Birmingham,283619.3,16
126,189,Transmission,2023-02-23 21:00:00,2023-03-04 21:00:00,2023-03-05 21:00:00,473,467.4,Sea,685.88,12,Sheffield,4841,2685,Supplier_126,Birmingham,221080.2,10
126,6,Tire,2023-02-27 12:00:00,2023-03-08 12:00:00,2023-03-06 12:00:00,412,961.93,Rail,379.42,18,London,1969,1952,Supplier_126,Birmingham,396315.16,7
126,129,Brake,2023-04-13 09:00:00,2023-05-02 09:00:00,2023-04-20 09:00:00,910,152.69,Air,205.77,10,Birmingham,3376,2990,Supplier_126,Birmingham,138947.9,7
126,192,Seat,2023-04-19 20:00:00,2023-04-29 20:00:00,2023-04-27 20:00:00,787,813,Rail,441.09,2,Cardiff,1103,1555,Supplier_126,Birmingham,639831,8
126,89,Suspension,2023-04-24 01:00:00,2023-05-08 01:00:00,2023-04-27 01:00:00,690,938.53,Sea,1137.65,11,London,2152,365,Supplier_126,Birmingham,647585.7,3
126,147,Suspension,2023-04-28 23:00:00,2023-05-04 23:00:00,2023-05-02 23:00:00,461,807.35,Rail,478.87,6,London,4519,1722,Supplier_126,Birmingham,372188.35,4
439,159,Door,2023-01-01 07:00:00,2023-01-20 07:00:00,2023-01-13 07:00:00,559,269.46,Air,1938.99,15,Leeds,4777,1993,Supplier_439,Cardiff,150628.14,12
439,48,Transmission,2023-01-03 07:00:00,2023-01-14 07:00:00,2023-01-22 07:00:00,164,384.97,Sea,1468.38,9,Liverpool,4657,363,Supplier_439,Cardiff,63135.08,19
439,145,Seat,2023-01-06 04:00:00,2023-01-19 04:00:00,2023-01-22 04:00:00,4,301.02,Sea,1463.13,10,Liverpool,2571,2522,Supplier_439,Cardiff,1204.08,16
439,197,Engine,2023-01-20 23:00:00,2023-02-09 23:00:00,2023-02-03 23:00:00,491,91.8,Sea,814.38,12,Leeds,2677,2700,Supplier_439,Cardiff,45073.8,14
439,66,Transmission,2023-01-31 10:00:00,2023-02-20 10:00:00,2023-02-10 10:00:00,60,801.55,Road,1875.28,17,Edinburgh,1750,1889,Supplier_439,Cardiff,48093,10
439,62,Windshield,2023-02-13 20:00:00,2023-03-02 20:00:00,2023-02-24 20:00:00,520,325.25,Rail,1932.51,3,Liverpool,2591,3453,Supplier_439,Cardiff,169130,11
439,189,Suspension,2023-02-18 04:00:00,2023-03-04 04:00:00,2023-03-04 04:00:00,741,392.21,Sea,844.5,5,Bristol,2836,1885,Supplier_439,Cardiff,290627.61,14
439,145,Battery,2023-03-10 06:00:00,2023-03-18 06:00:00,2023-04-01 06:00:00,216,974.29,Rail,1874.72,10,Bristol,4088,414,Supplier_439,Cardiff,210446.64,22
439,75,Seat,2023-03-17 21:00:00,2023-03-20 21:00:00,2023-03-19 21:00:00,111,688.71,Sea,273.34,17,Glasgow,3103,1358,Supplier_439,Cardiff,76446.81,2
439,176,Transmission,2023-03-19 08:00:00,2023-03-27 08:00:00,2023-03-23 08:00:00,782,968.7,Air,739.5,8,Manchester,3308,609,Supplier_439,Cardiff,757523.4,4
439,191,Brake,2023-03-28 15:00:00,2023-04-06 15:00:00,2023-04-02 15:00:00,878,363.47,Air,1366.59,1,London,2586,713,Supplier_439,Cardiff,319126.66,5
439,18,Steering,2023-04-10 13:00:00,2023-04-25 13:00:00,2023-04-22 13:00:00,753,417.2,Rail,1259.8,7,Edinburgh,3385,2311,Supplier_439,Cardiff,314151.6,12
439,52,Brake,2023-04-22 20:00:00,2023-04-24 20:00:00,2023-04-27 20:00:00,117,909.04,Rail,1941.2,11,Cardiff,4308,3883,Supplier_439,Cardiff,106357.68,5
439,103,Windshield,2023-04-23 17:00:00,2023-05-09 17:00:00,2023-05-01 17:00:00,999,105.22,Road,1052.86,18,Sheffield,4851,1347,Supplier_439,Cardiff,105114.78,8
433,99,Transmission,2023-01-01 08:00:00,2023-01-11 08:00:00,2023-01-10 08:00:00,39,961.32,Air,1588.72,6,Manchester,1235,3338,Supplier_433,Zurich,37491.48,9
433,125,Seat,2023-01-05 10:00:00,2023-01-13 10:00:00,2023-01-08 10:00:00,754,72.21,Sea,391.32,18,Cardiff,2110,1692,Supplier_433,Zurich,54446.34,3
433,28,Brake,2023-01-09 09:00:00,2023-01-17 09:00:00,2023-01-12 09:00:00,91,695.39,Rail,1210.04,12,Cardiff,3982,1236,Supplier_433,Zurich,63280.49,3
433,174,Windshield,2023-01-25 09:00:00,2023-02-07 09:00:00,2023-02-19 09:00:00,600,387.54,Road,363.24,13,Liverpool,2455,117,Supplier_433,Zurich,232524,25
433,34,Suspension,2023-02-24 15:00:00,2023-03-07 15:00:00,2023-03-11 15:00:00,332,877.24,Road,856.9,14,Manchester,4865,2830,Supplier_433,Zurich,291243.68,15
433,151,Transmission,2023-03-09 05:00:00,2023-03-26 05:00:00,2023-03-31 05:00:00,908,402.49,Rail,1444.54,19,Bristol,1868,2970,Supplier_433,Zurich,365460.92,22
433,199,Steering,2023-03-13 01:00:00,2023-03-23 01:00:00,2023-03-22 01:00:00,832,723.92,Sea,577.31,8,Manchester,1431,2870,Supplier_433,Zurich,602301.44,9
433,19,Suspension,2023-04-03 16:00:00,2023-04-12 16:00:00,2023-04-21 16:00:00,977,747.12,Air,1777.57,1,Bristol,4703,2733,Supplier_433,Zurich,729936.24,18
433,119,Seat,2023-04-04 07:00:00,2023-04-24 07:00:00,2023-04-17 07:00:00,146,569.42,Rail,1181.16,8,Bristol,1982,3500,Supplier_433,Zurich,83135.32,13
433,15,Windshield,2023-04-25 00:00:00,2023-05-10 00:00:00,2023-05-01 00:00:00,289,58.3,Sea,1902.44,4,London,4850,1627,Supplier_433,Zurich,16848.7,6
433,21,Engine,2023-04-29 13:00:00,2023-05-06 13:00:00,2023-05-22 13:00:00,525,623.49,Sea,1526.27,17,Birmingham,1396,2523,Supplier_433,Zurich,327332.25,23
116,174,Steering,2023-01-01 09:00:00,2023-01-05 09:00:00,2023-01-15 09:00:00,771,530.63,Road,1492.8,12,Birmingham,1495,3641,Supplier_116,Brussels,409115.73,14
116,32,Suspension,2023-01-22 19:00:00,2023-02-08 19:00:00,2023-02-09 19:00:00,664,546.95,Sea,370.65,16,Glasgow,2920,3716,Supplier_116,Brussels,363174.8,18
116,107,Engine,2023-01-29 00:00:00,2023-02-06 00:00:00,2023-02-11 00:00:00,98,346.58,Road,490.31,13,Glasgow,2206,2256,Supplier_116,Brussels,33964.84,13
116,16,Engine,2023-02-02 11:00:00,2023-02-19 11:00:00,2023-02-20 11:00:00,482,806.15,Road,1425.37,10,London,4380,3921,Supplier_116,Brussels,388564.3,18
116,17,Windshield,2023-02-07 00:00:00,2023-02-12 00:00:00,2023-03-04 00:00:00,370,924.95,Rail,691.44,15,London,3907,287,Supplier_116,Brussels,342231.5,25
116,163,Seat,2023-02-09 03:00:00,2023-03-01 03:00:00,2023-03-05 03:00:00,589,715.82,Rail,1471.34,4,Birmingham,3810,1250,Supplier_116,Brussels,421617.98,24
116,122,Seat,2023-05-01 13:00:00,2023-05-04 13:00:00,2023-05-21 13:00:00,180,403.9,Road,992.63,11,Leeds,3779,1091,Supplier_116,Brussels,72702,20
116,83,Door,2023-05-05 21:00:00,2023-05-13 21:00:00,2023-05-15 21:00:00,91,913.15,Road,1703.23,15,Liverpool,3646,1180,Supplier_116,Brussels,83096.65,10
335,127,Door,2023-01-01 10:00:00,2023-01-16 10:00:00,2023-01-19 10:00:00,493,733.01,Rail,1868.78,7,Leeds,4293,2711,Supplier_335,Stockholm,361373.93,18
335,188,Engine,2023-01-05 22:00:00,2023-01-20 22:00:00,2023-01-21 22:00:00,550,803.08,Sea,1513.93,11,Birmingham,4202,2212,Supplier_335,Stockholm,441694,16
335,123,Brake,2023-01-09 21:00:00,2023-01-23 21:00:00,2023-01-23 21:00:00,142,895.47,Air,1836.85,14,Bristol,4581,1207,Supplier_335,Stockholm,127156.74,14
335,187,Steering,2023-01-10 09:00:00,2023-01-25 09:00:00,2023-01-14 09:00:00,449,282.33,Air,1721.12,15,Liverpool,4242,2998,Supplier_335,Stockholm,126766.17,4
335,17,Suspension,2023-01-23 21:00:00,2023-02-08 21:00:00,2023-02-09 21:00:00,496,454.89,Rail,437.34,14,Edinburgh,4581,2560,Supplier_335,Stockholm,225625.44,17
335,16,Brake,2023-02-20 03:00:00,2023-02-23 03:00:00,2023-02-27 03:00:00,921,257.99,Sea,1974.4,20,Edinburgh,2659,3992,Supplier_335,Stockholm,237608.79,7
59,115,Tire,2023-01-01 11:00:00,2023-01-15 11:00:00,2023-01-21 11:00:00,377,954.75,Rail,368.23,10,Leeds,1181,2432,Supplier_59,London,359940.75,20
59,83,Windshield,2023-01-29 01:00:00,2023-02-17 01:00:00,2023-02-23 01:00:00,136,326.25,Air,834.88,4,Edinburgh,2371,1331,Supplier_59,London,44370,25
59,17,Transmission,2023-02-18 14:00:00,2023-03-07 14:00:00,2023-03-03 14:00:00,249,414.82,Sea,806.16,7,Birmingham,3608,3899,Supplier_59,London,103290.18,13
59,23,Tire,2023-02-23 07:00:00,2023-02-25 07:00:00,2023-03-16 07:00:00,886,839.32,Rail,493.95,4,Edinburgh,2749,3704,Supplier_59,London,743637.52,21
151,51,Suspension,2023-01-01 12:00:00,2023-01-14 12:00:00,2023-01-07 12:00:00,808,750.37,Road,430.62,5,Cardiff,3385,1116,Supplier_151,Vienna,606298.96,6
151,150,Tire,2023-02-27 13:00:00,2023-03-14 13:00:00,2023-03-19 13:00:00,224,519.13,Air,1871.97,18,Leeds,2932,2824,Supplier_151,Vienna,116285.12,20
151,39,Steering,2023-03-08 15:00:00,2023-03-17 15:00:00,2023-03-24 15:00:00,628,697.07,Rail,176.13,4,Leeds,4033,3262,Supplier_151,Vienna,437759.96,16
151,78,Steering,2023-03-13 03:00:00,2023-03-28 03:00:00,2023-03-18 03:00:00,114,697.65,Sea,924.95,11,London,4875,3921,Supplier_151,Vienna,79532.1,5
151,34,Brake,2023-03-29 18:00:00,2023-04-10 18:00:00,2023-04-21 18:00:00,876,474.32,Air,639.85,13,Bristol,1571,553,Supplier_151,Vienna,415504.32,23
151,24,Transmission,2023-05-02 00:00:00,2023-05-04 00:00:00,2023-05-14 00:00:00,130,468.8,Rail,898.69,15,Bristol,1535,2397,Supplier_151,Vienna,60944,12
100,136,Suspension,2023-01-01 13:00:00,2023-01-03 13:00:00,2023-01-24 13:00:00,686,98.3,Air,645.66,16,Leeds,2238,2823,Supplier_100,Helsinki,67433.8,23
100,162,Windshield,2023-01-03 05:00:00,2023-01-10 05:00:00,2023-01-19 05:00:00,963,152.14,Road,1673.53,4,Edinburgh,1922,3146,Supplier_100,Helsinki,146510.82,16
100,132,Windshield,2023-01-11 08:00:00,2023-01-15 08:00:00,2023-01-28 08:00:00,628,643.34,Air,758.11,16,Sheffield,3656,3246,Supplier_100,Helsinki,404017.52,17
100,147,Battery,2023-03-10 20:00:00,2023-03-17 20:00:00,2023-03-13 20:00:00,89,506.57,Rail,378.22,7,Sheffield,1588,2405,Supplier_100,Helsinki,45084.73,3
484,81,Battery,2023-01-01 14:00:00,2023-01-06 14:00:00,2023-01-06 14:00:00,806,779.66,Air,808.95,18,Sheffield,1501,1662,Supplier_484,Budapest,628405.96,5
484,91,Suspension,2023-01-13 00:00:00,2023-01-22 00:00:00,2023-01-30 00:00:00,418,949.93,Sea,1550.27,4,Edinburgh,1829,1485,Supplier_484,Budapest,397070.74,17
484,15,Transmission,2023-01-19 20:00:00,2023-01-28 20:00:00,2023-01-28 20:00:00,118,736.56,Road,799.37,1,Cardiff,3054,2036,Supplier_484,Budapest,86914.08,9
484,142,Suspension,2023-01-25 16:00:00,2023-01-27 16:00:00,2023-02-18 16:00:00,163,625.98,Road,1832.53,9,Glasgow,4512,2463,Supplier_484,Budapest,102034.74,24
484,47,Seat,2023-01-27 07:00:00,2023-02-11 07:00:00,2023-02-09 07:00:00,880,652,Rail,421.57,10,Glasgow,1553,3406,Supplier_484,Budapest,573760,13
484,71,Steering,2023-02-06 00:00:00,2023-02-24 00:00:00,2023-02-19 00:00:00,628,584.05,Road,616.78,11,Edinburgh,3472,3183,Supplier_484,Budapest,366783.4,13
484,161,Seat,2023-03-05 10:00:00,2023-03-22 10:00:00,2023-03-19 10:00:00,750,968.54,Sea,480.64,15,Cardiff,3975,854,Supplier_484,Budapest,726405,14
484,145,Transmission,2023-03-22 01:00:00,2023-04-01 01:00:00,2023-04-01 01:00:00,63,294.27,Air,650.54,7,Cardiff,4771,2116,Supplier_484,Budapest,18539.01,10
484,53,Engine,2023-04-13 03:00:00,2023-05-02 03:00:00,2023-05-05 03:00:00,563,996.06,Sea,1308.29,18,Liverpool,1743,1994,Supplier_484,Budapest,560781.78,22
484,160,Brake,2023-05-02 04:00:00,2023-05-18 04:00:00,2023-05-06 04:00:00,659,723,Rail,323.56,17,Edinburgh,4871,2189,Supplier_484,Budapest,476457,4
55,3,Door,2023-01-01 15:00:00,2023-01-12 15:00:00,2023-01-18 15:00:00,444,831.37,Sea,1909.8,7,Liverpool,3130,474,Supplier_55,Copenhagen,369128.28,17
55,131,Battery,2023-01-07 18:00:00,2023-01-10 18:00:00,2023-02-01 18:00:00,290,845.43,Rail,1979.72,20,Manchester,1790,2841,Supplier_55,Copenhagen,245174.7,25
55,41,Windshield,2023-01-18 10:00:00,2023-01-26 10:00:00,2023-01-25 10:00:00,442,486.29,Rail,755.79,9,Bristol,1679,3662,Supplier_55,Copenhagen,214940.18,7
55,100,Engine,2023-01-23 09:00:00,2023-02-08 09:00:00,2023-02-10 09:00:00,821,141.48,Rail,1259.95,5,London,2240,3212,Supplier_55,Copenhagen,116155.08,18
55,34,Door,2023-01-25 19:00:00,2023-01-29 19:00:00,2023-02-08 19:00:00,887,426.73,Air,1252.2,13,Edinburgh,2809,3356,Supplier_55,Copenhagen,378509.51,14
55,88,Seat,2023-02-27 09:00:00,2023-03-18 09:00:00,2023-03-20 09:00:00,678,295.92,Rail,974.78,7,Birmingham,4115,1585,Supplier_55,Copenhagen,200633.76,21
55,89,Windshield,2023-03-19 09:00:00,2023-03-25 09:00:00,2023-04-01 09:00:00,706,424.89,Sea,1302.4,12,Glasgow,1011,3987,Supplier_55,Copenhagen,299972.34,13
55,38,Seat,2023-03-19 20:00:00,2023-03-23 20:00:00,2023-03-25 20:00:00,468,172.37,Rail,396.91,16,Glasgow,2085,725,Supplier_55,Copenhagen,80669.16,6
55,124,Door,2023-03-27 14:00:00,2023-04-07 14:00:00,2023-03-29 14:00:00,323,84.09,Rail,1326.06,5,Bristol,3463,1559,Supplier_55,Copenhagen,27161.07,2
55,189,Seat,2023-03-29 12:00:00,2023-04-06 12:00:00,2023-04-14 12:00:00,264,132.4,Sea,427.27,3,Bristol,2275,1536,Supplier_55,Copenhagen,34953.6,16
55,136,Brake,2023-04-04 02:00:00,2023-04-21 02:00:00,2023-04-22 02:00:00,273,626.02,Sea,931.81,7,Edinburgh,4021,3071,Supplier_55,Copenhagen,170903.46,18
55,45,Suspension,2023-04-16 15:00:00,2023-05-01 15:00:00,2023-05-06 15:00:00,880,822.77,Rail,629.57,7,Bristol,1893,1499,Supplier_55,Copenhagen,724037.6,20
55,78,Brake,2023-04-25 02:00:00,2023-05-09 02:00:00,2023-05-18 02:00:00,797,378.55,Sea,335.21,7,Cardiff,4852,1917,Supplier_55,Copenhagen,301704.35,23
286,21,Engine,2023-01-01 17:00:00,2023-01-06 17:00:00,2023-01-12 17:00:00,483,979.97,Sea,1449.68,14,Liverpool,3346,541,Supplier_286,Leeds,473325.51,11
286,66,Windshield,2023-01-13 07:00:00,2023-01-21 07:00:00,2023-02-05 07:00:00,252,718.3,Rail,1920.27,13,Bristol,3937,1142,Supplier_286,Leeds,181011.6,23
286,124,Transmission,2023-02-13 04:00:00,2023-02-23 04:00:00,2023-02-25 04:00:00,164,971.22,Air,1528.7,4,Sheffield,4619,2431,Supplier_286,Leeds,159280.08,12
286,185,Battery,2023-02-17 18:00:00,2023-03-03 18:00:00,2023-03-09 18:00:00,37,411.81,Air,206.67,13,Cardiff,2116,3523,Supplier_286,Leeds,15236.97,20
286,157,Door,2023-04-28 09:00:00,2023-05-12 09:00:00,2023-05-11 09:00:00,825,169.5,Air,1242.46,12,Edinburgh,4770,3818,Supplier_286,Leeds,139837.5,13
287,78,Battery,2023-01-01 18:00:00,2023-01-12 18:00:00,2023-01-10 18:00:00,303,368.07,Sea,1904.69,11,Leeds,3546,628,Supplier_287,Manchester,111525.21,9
287,119,Tire,2023-02-11 18:00:00,2023-02-25 18:00:00,2023-02-17 18:00:00,429,383.85,Road,907.95,6,Manchester,3594,318,Supplier_287,Manchester,164671.65,6
287,186,Steering,2023-02-13 03:00:00,2023-02-18 03:00:00,2023-03-05 03:00:00,499,754.04,Sea,395.14,5,Edinburgh,4260,3425,Supplier_287,Manchester,376265.96,20
287,61,Steering,2023-02-14 18:00:00,2023-03-03 18:00:00,2023-03-09 18:00:00,982,258.37,Road,795.08,11,Birmingham,1910,1797,Supplier_287,Manchester,253719.34,23
287,13,Windshield,2023-02-21 19:00:00,2023-03-07 19:00:00,2023-03-01 19:00:00,663,706.84,Sea,1351.77,1,Bristol,3187,1993,Supplier_287,Manchester,468634.92,8
287,162,Windshield,2023-03-03 00:00:00,2023-03-17 00:00:00,2023-03-14 00:00:00,603,547.65,Sea,796.14,3,Leeds,4831,866,Supplier_287,Manchester,330232.95,11
270,102,Tire,2023-01-01 19:00:00,2023-01-17 19:00:00,2023-01-16 19:00:00,467,854.53,Rail,812.3,18,Edinburgh,1133,774,Supplier_270,Warsaw,399065.51,15
270,123,Brake,2023-01-14 18:00:00,2023-02-02 18:00:00,2023-02-05 18:00:00,917,476.62,Road,1313.04,11,Manchester,2671,1396,Supplier_270,Warsaw,437060.54,22
270,192,Brake,2023-01-15 03:00:00,2023-01-27 03:00:00,2023-02-06 03:00:00,996,231.78,Rail,828.08,17,Edinburgh,2308,2559,Supplier_270,Warsaw,230852.88,22
216,77,Steering,2023-01-01 20:00:00,2023-01-05 20:00:00,2023-01-23 20:00:00,553,788.52,Road,1994.22,2,Glasgow,3787,2700,Supplier_216,Leeds,436051.56,22
